Opening,Strategy,Opponent,Wins,Losses,Draws,Win %,Games Played
Standard Opening,Balanced,SimulatedAnnealing1.0,30,0,0,100.00,30
Standard Opening,SimulatedAnnealing1.0,Balanced,0,30,0,0.00,30
Standard Opening,Balanced,Minimax1,23,7,0,76.67,30
Standard Opening,Minimax1,Balanced,7,23,0,23.33,30
Standard Opening,Balanced,Minimax2,30,0,0,100.00,30
Standard Opening,Minimax2,Balanced,0,30,0,0.00,30
Standard Opening,Balanced,MCTS5sec,13,17,0,43.33,30
Standard Opening,MCTS5sec,Balanced,17,13,0,56.67,30
Standard Opening,Balanced,MCTS1sec,19,11,0,63.33,30
Standard Opening,MCTS1sec,Balanced,11,19,0,36.67,30
Standard Opening,Adaptive,Mirror,29,1,0,96.67,30
Standard Opening,Mirror,Adaptive,1,29,0,3.33,30
Standard Opening,Adaptive,SimulatedAnnealing0.5,30,0,0,100.00,30
Standard Opening,SimulatedAnnealing0.5,Adaptive,0,30,0,0.00,30
Standard Opening,Adaptive,SimulatedAnnealing1.0,30,0,0,100.00,30
Standard Opening,SimulatedAnnealing1.0,Adaptive,0,30,0,0.00,30
Standard Opening,Adaptive,Minimax1,30,0,0,100.00,30
Standard Opening,Minimax1,Adaptive,0,30,0,0.00,30
Standard Opening,Defensive,SimulatedAnnealing0.5,30,0,0,100.00,30
Standard Opening,SimulatedAnnealing0.5,Defensive,0,30,0,0.00,30
Standard Opening,Defensive,SimulatedAnnealing1.0,30,0,0,100.00,30
Standard Opening,SimulatedAnnealing1.0,Defensive,0,30,0,0.00,30
Standard Opening,Defensive,Minimax1,28,2,0,93.33,30
Standard Opening,Minimax1,Defensive,2,28,0,6.67,30
Standard Opening,Defensive,Minimax2,30,0,0,100.00,30
Standard Opening,Minimax2,Defensive,0,30,0,0.00,30
Standard Opening,Defensive,MCTS5sec,19,11,0,63.33,30
Standard Opening,MCTS5sec,Defensive,11,19,0,36.67,30
Standard Opening,Defensive,MCTS1sec,20,10,0,66.67,30
Standard Opening,MCTS1sec,Defensive,10,20,0,33.33,30
Standard Opening,Balanced,Adaptive,10,20,0,33.33,30
Standard Opening,Adaptive,Balanced,20,10,0,66.67,30
Standard Opening,Balanced,Mirror,30,0,0,100.00,30
Standard Opening,Mirror,Balanced,0,30,0,0.00,30
Standard Opening,Balanced,SimulatedAnnealing0.5,30,0,0,100.00,30
Standard Opening,SimulatedAnnealing0.5,Balanced,0,30,0,0.00,30
Standard Opening,SimulatedAnnealing0.5,SimulatedAnnealing1.0,11,19,0,36.67,30
