Opening,Strategy,Opponent,Wins,Losses,Draws,Win %,Games Played
Shiller Opening,ShortestPath,Balanced,3,5,0,37.50,8
Shiller Opening,Balanced,ShortestPath,5,3,0,62.50,8
Shiller Opening,ShortestPath,Adaptive,2,6,0,25.00,8
Shiller Opening,Adaptive,ShortestPath,6,2,0,75.00,8
Shiller Opening,ShortestPath,Mirror,4,4,0,50.00,8
Shiller Opening,Mirror,ShortestPath,4,4,0,50.00,8
Shiller Opening,ShortestPath,SimulatedAnnealing0.5,8,0,0,100.00,8
Shiller Opening,SimulatedAnnealing0.5,ShortestPath,0,8,0,0.00,8
Shiller Opening,ShortestPath,SimulatedAnnealing1.0,6,2,0,75.00,8
Shiller Opening,SimulatedAnnealing1.0,ShortestPath,2,6,0,25.00,8
Shiller Opening,ShortestPath,Minimax1,4,4,0,50.00,8
Shiller Opening,Minimax1,ShortestPath,4,4,0,50.00,8
Shiller Opening,ShortestPath,Minimax2,8,0,0,100.00,8
Shiller Opening,Minimax2,ShortestPath,0,8,0,0.00,8
Shiller Opening,ShortestPath,MCTS5sec,1,7,0,12.50,8
Shiller Opening,MCTS5sec,ShortestPath,7,1,0,87.50,8
Shiller Opening,ShortestPath,MCTS1sec,0,8,0,0.00,8
Shiller Opening,MCTS1sec,ShortestPath,8,0,0,100.00,8
Shiller Opening,Defensive,Balanced,4,4,0,50.00,8
Shiller Opening,Balanced,Defensive,4,4,0,50.00,8
Shiller Opening,Defensive,Adaptive,6,2,0,75.00,8
Shiller Opening,Adaptive,Defensive,2,6,0,25.00,8
Shiller Opening,Defensive,Mirror,8,0,0,100.00,8
Shiller Opening,Mirror,Defensive,0,8,0,0.00,8
Shiller Opening,Defensive,SimulatedAnnealing0.5,4,4,0,50.00,8
Shiller Opening,SimulatedAnnealing0.5,Defensive,4,4,0,50.00,8
Shiller Opening,Defensive,SimulatedAnnealing1.0,4,4,0,50.00,8
Shiller Opening,SimulatedAnnealing1.0,Defensive,4,4,0,50.00,8
Shiller Opening,Defensive,Minimax1,8,0,0,100.00,8
Shiller Opening,Minimax1,Defensive,0,8,0,0.00,8
Shiller Opening,Defensive,Minimax2,7,1,0,87.50,8
Shiller Opening,Minimax2,Defensive,1,7,0,12.50,8
Shiller Opening,Defensive,MCTS5sec,3,5,0,37.50,8
Shiller Opening,MCTS5sec,Defensive,5,3,0,62.50,8
Shiller Opening,Defensive,MCTS1sec,3,5,0,37.50,8
Shiller Opening,MCTS1sec,Defensive,5,3,0,62.50,8
Shiller Opening,Balanced,Adaptive,6,2,0,75.00,8
Shiller Opening,Adaptive,Balanced,2,6,0,25.00,8
Shiller Opening,Balanced,Mirror,8,0,0,100.00,8
Shiller Opening,Mirror,Balanced,0,8,0,0.00,8
Shiller Opening,Balanced,SimulatedAnnealing0.5,6,2,0,75.00,8
